Type	FSWP-26
Version	3.01
Date	23.May 2025
VSupply	ON
Mode	Voltage
6.3139376640	-58.3858985901
6.3358049393	-58.3858985901
6.3577480316	-58.3858985901
6.3797669411	-58.3779296875
6.4018621445	-58.2905158997
6.4240336418	-58.2905158997
6.4462819099	-58.2905158997
6.4686074257	-58.0331001282
6.4910101891	-57.9804992676
6.5134906769	-57.9746894836
6.5360488892	-57.9746894836
6.5586853027	-57.9746894836
6.5814003944	-57.9746894836
6.6041936874	-57.9746894836
6.6270661354	-57.9686965942
6.6500177383	-57.9053916931
6.6730489731	-57.7958564758
6.6961598396	-57.7607536316
6.7193508148	-57.7545928955
6.7426218987	-57.7076568604
6.7659740448	-57.6442108154
6.7894062996	-57.5424842834
6.8129205704	-57.3753204346
6.8365159035	-57.3643112183
6.8601927757	-57.3604545593
6.8839516640	-57.3604545593
6.9077930450	-57.3604545593
6.9317169189	-57.3376693726
6.9557237625	-57.3376693726
6.9798135757	-57.3376693726
7.0039868355	-57.3376693726
7.0282440186	-57.3376693726
7.0525846481	-57.1820106506
7.0770101547	-57.1820106506
7.1015210152	-57.1820106506
7.1261157990	-57.1820106506
7.1507959366	-57.0374298096
7.1755614281	-56.9815864563
7.2004127502	-56.9806785583
7.2253499031	-56.9677619934
7.2503733635	-56.9571495056
7.2754840851	-56.9571495056
7.3006811142	-56.9571495056
7.3259658813	-56.9571495056
7.3513379097	-56.9571495056
7.3767981529	-56.9571495056
7.4023461342	-56.9571495056
7.4279828072	-56.9571495056
7.4537081718	-56.9571495056
7.4795227051	-56.9571495056
7.5054268837	-56.9571495056
7.5314202309	-56.8533477783
7.5575041771	-56.8364257813
7.5836782455	-56.8362159729
7.6099429131	-56.7601280212
7.6362986565	-56.6872787476
7.6627454758	-56.6872787476
7.6892838478	-56.6872787476
7.7159142494	-56.6872787476
7.7426371574	-56.6872787476
7.7694520950	-56.6872787476
7.7963600159	-56.6872787476
7.8233613968	-56.6872787476
7.8504562378	-56.6872787476
7.8776450157	-56.6872787476
7.9049277306	-56.6872787476
7.9323048592	-56.6872787476
7.9597768784	-56.6628456116
7.9873442650	-56.6280708313
8.0150070190	-56.6051101685
8.0427656174	-56.5118522644
8.0706205368	-56.3949203491
8.0985708237	-56.3712959290
8.1266193390	-56.1373291016
8.1547641754	-56.1340751648
8.1830062866	-55.9848365784
8.2113466263	-55.9629325867
8.2397851944	-55.9233856201
8.2683229446	-55.6889305115
8.2969579697	-55.6671218872
8.3256931305	-55.6480636597
8.3545274734	-55.3351783752
8.3834619522	-55.3045158386
8.4124965668	-55.2426071167
8.4416322708	-55.1495628357
8.4708681107	-55.1318283081
8.5002050400	-55.1278381348
8.5296440125	-55.0925941467
8.5591850281	-55.0923995972
8.5888280869	-55.0904769897
8.6185741425	-55.0507621765
8.6484231949	-55.0387611389
8.6783752441	-55.0387611389
8.7084312439	-54.9529991150
8.7385911942	-54.9465293884
8.7688560486	-54.8979187012
8.7992248535	-54.8979187012
8.8296995163	-54.9465293884
8.8602790833	-54.9529991150
8.8909654617	-54.9529991150
8.9217586517	-54.9529991150
8.9526576996	-54.9529991150
8.9836635590	-54.9529991150
9.0147771835	-54.9529991150
9.0459976196	-54.9465293884
9.0773267746	-54.9465293884
9.1087646484	-54.8708496094
9.1403112411	-54.8556442261
9.1719665527	-54.8267784119
9.2037324905	-54.7331657410
9.2356081009	-54.7271690369
9.2675933838	-54.7036247253
9.2996902466	-54.5274620056
9.3318977356	-54.5125274658
9.3642177582	-54.5125274658
9.3966484070	-54.5125274658
9.4291925430	-54.5125274658
9.4618482590	-54.5049591064
9.4946174622	-54.4981536865
9.5275011063	-54.4955825806
9.5604972839	-54.4125366211
9.5936088562	-54.3542404175
9.6268339157	-54.2827339172
9.6601753235	-54.2827339172
9.6936311722	-54.2827339172
9.7272033691	-54.2827339172
9.7608919144	-54.1397552490
9.7946968079	-53.9953193665
9.8286190033	-53.8823013306
9.8626585007	-53.8604736328
9.8968162537	-53.8460655212
9.9310922623	-53.8460655212
9.9654865265	-53.8232536316
10.0000000000	-53.7899475098
10.0346345901	-53.7616806030
10.0693864822	-53.7301826477
10.1042613983	-53.7046127319
10.1392536163	-53.5958290100
10.1743707657	-53.5188026428
10.2096061707	-53.4870834351
10.2449674606	-53.4739723206
10.2804470062	-53.3783760071
10.3160533905	-53.2595481873
10.3517789841	-53.2587051392
10.3876323700	-53.1356544495
10.4236068726	-52.9916725159
10.4597082138	-52.9572639465
10.4959316254	-52.8466873169
10.5322837830	-52.7219429016
10.5687589645	-52.7089424133
10.6053638458	-52.7026977539
10.6420917511	-52.6982803345
10.6789503098	-52.6981315613
10.7159337997	-52.6588592529
10.7530479431	-52.6498527527
10.7902870178	-52.5805282593
10.8276586533	-52.5805282593
10.8651571274	-52.5805282593
10.9027881622	-52.6498527527
10.9405460358	-52.6588592529
10.9784383774	-52.6981315613
11.0164585114	-52.6982803345
11.0546140671	-52.7026977539
11.0928983688	-52.7219429016
11.1313180923	-52.7219429016
11.1698675156	-52.7026977539
11.2085533142	-52.6981315613
11.2473707199	-52.6588592529
11.2863254547	-52.6498527527
11.3254127502	-52.5805282593
11.3646373749	-52.5689239502
11.4039955139	-52.5595359802
11.4434919357	-52.5595359802
11.4831228256	-52.5595359802
11.5228948593	-52.5595359802
11.5628004074	-52.5595359802
