Type	FSWP-26
Version	3.01
Date	17.Jun 2025
VSupply	ON
Mode	Voltage
6.4686074257	-94.3879928589
6.4910101891	-94.2708206177
6.5134906769	-94.4433670044
6.5360488892	-94.5512695313
6.5586853027	-94.6315917969
6.5814003944	-94.7823181152
6.6041936874	-95.0400695801
6.6270661354	-95.2472763062
6.6500177383	-95.3866195679
6.6730489731	-95.5791625977
6.6961598396	-95.7735900879
6.7193508148	-95.7172851563
6.7426218987	-95.4090270996
6.7659740448	-94.7100982666
6.7894062996	-94.0477905273
6.8129205704	-93.5857620239
6.8365159035	-93.3151168823
6.8601927757	-93.2725524902
6.8839516640	-93.4071655273
6.9077930450	-93.7642745972
6.9317169189	-94.3506927490
6.9557237625	-95.2013015747
6.9798135757	-96.1025619507
7.0039868355	-96.6161575317
7.0282440186	-96.7247619629
7.0525846481	-96.5959396362
7.0770101547	-96.5295639038
7.1015210152	-96.6279220581
7.1261157990	-96.7887878418
7.1507959366	-96.9017486572
7.1755614281	-96.7564163208
7.2004127502	-96.3406982422
7.2253499031	-95.8406219482
7.2503733635	-95.4662780762
7.2754840851	-95.1826858521
7.3006811142	-94.8852767944
7.3259658813	-94.8122406006
7.3513379097	-94.8945541382
7.3767981529	-95.0621871948
7.4023461342	-95.2724990845
7.4279828072	-95.3579788208
7.4537081718	-95.2218627930
7.4795227051	-95.1277389526
7.5054268837	-95.2755661011
7.5314202309	-95.5194854736
7.5575041771	-95.7633056641
7.5836782455	-95.9459762573
7.6099429131	-95.8798751831
7.6362986565	-95.2799148560
7.6627454758	-94.7068710327
7.6892838478	-94.4953536987
7.7159142494	-94.9230728149
7.7426371574	-95.5501556396
7.7694520950	-95.9393997192
7.7963600159	-95.8583679199
7.8233613968	-95.4909896851
7.8504562378	-95.3217926025
7.8776450157	-95.4374389648
7.9049277306	-95.9902496338
7.9323048592	-96.4684295654
7.9597768784	-96.5109863281
7.9873442650	-95.8579711914
8.0150070190	-95.2015991211
8.0427656174	-95.1197662354
8.0706205368	-95.3749084473
8.0985708237	-95.7391586304
8.1266193390	-95.8405914307
8.1547641754	-95.7637939453
8.1830062866	-95.7141189575
8.2113466263	-95.8189697266
8.2397851944	-95.7795486450
8.2683229446	-95.4542236328
8.2969579697	-95.3044509888
8.3256931305	-95.4666061401
8.3545274734	-95.9678192139
8.3834619522	-96.3315963745
8.4124965668	-96.5040283203
8.4416322708	-96.7428512573
8.4708681107	-96.8323059082
8.5002050400	-96.5855255127
8.5296440125	-96.2171401978
8.5591850281	-96.3987197876
8.5888280869	-96.7214126587
8.6185741425	-96.5788116455
8.6484231949	-96.3960494995
8.6783752441	-96.4595184326
8.7084312439	-96.5060043335
8.7385911942	-96.3294982910
8.7688560486	-96.2246475220
8.7992248535	-96.3802490234
8.8296995163	-96.4332809448
8.8602790833	-96.0936431885
8.8909654617	-95.8136215210
8.9217586517	-95.9985961914
8.9526576996	-96.0172424316
8.9836635590	-95.5514068604
9.0147771835	-95.3506546021
9.0459976196	-95.8370590210
9.0773267746	-96.9300460815
9.1087646484	-97.5186080933
9.1403112411	-96.6414260864
9.1719665527	-95.6714019775
9.2037324905	-95.6193161011
9.2356081009	-96.1687850952
9.2675933838	-96.2135543823
9.2996902466	-95.9384078979
9.3318977356	-96.3019790649
9.3642177582	-96.9385910034
9.3966484070	-97.0453796387
9.4291925430	-96.9905166626
9.4618482590	-97.0144348145
9.4946174622	-96.9135665894
9.5275011063	-96.9788742065
9.5604972839	-97.2401351929
9.5936088562	-96.9675827026
9.6268339157	-96.1623687744
9.6601753235	-95.5838165283
9.6936311722	-95.4745101929
9.7272033691	-95.8922195435
9.7608919144	-96.5305938721
9.7946968079	-96.9487686157
9.8286190033	-97.1628494263
9.8626585007	-97.2277755737
9.8968162537	-97.3745803833
9.9310922623	-97.5341567993
9.9654865265	-97.7176895142
10.0000000000	-96.9058990479
10.0346345901	-96.8413848877
10.0693864822	-96.7633819580
10.1042613983	-96.6793289185
10.1392536163	-96.5932312012
10.1743707657	-96.5065078735
10.2096061707	-96.4143447876
10.2449674606	-96.3199081421
10.2804470062	-96.2186965942
10.3160533905	-96.1183395386
10.3517789841	-96.0189895630
10.3876323700	-95.9358444214
10.4236068726	-95.8603591919
10.4597082138	-95.8268890381
10.4959316254	-95.8068847656
10.5322837830	-95.8388900757
10.5687589645	-95.8961639404
10.6053638458	-95.9906692505
10.6420917511	-96.1130294800
10.6789503098	-96.2492980957
10.7159337997	-96.3908157349
10.7530479431	-96.5286407471
10.7902870178	-96.6524353027
10.8276586533	-96.7691345215
10.8651571274	-96.8791961670
10.9027881622	-96.9837188721
10.9405460358	-97.0839462280
10.9784383774	-97.1643447876
11.0164585114	-97.2261047363
11.0546140671	-97.2657928467
11.0928983688	-97.2883453369
11.1313180923	-97.3096160889
11.1698675156	-97.3520812988
11.2085533142	-97.4183273315
11.2473707199	-97.5098342896
11.2863254547	-97.6221389771
11.3254127502	-97.7316970825
11.3646373749	-97.8176345825
11.4039955139	-97.8622055054
11.4434919357	-97.8787612915
11.4831228256	-97.8322906494
11.5228948593	-97.7754669189
11.5628004074	-97.7035064697
11.6028470993	-97.6465530396
11.6430301666	-97.6018066406
11.6833553314	-97.5890197754
11.7238168716	-97.5917129517
11.7644214630	-97.6027374268
11.8051643372	-97.6003265381
11.8460512161	-97.5809249878
11.8870754242	-97.5445861816
11.9282464981	-97.4984664917
11.9695558548	-97.4594802856
12.0110120773	-97.4316329956
12.0526084900	-97.4060440063
12.0943517685	-97.3649902344
12.1362361908	-97.2941284180
12.1782703400	-97.1765594482
